episode,reward,win,steps
1,7.0,0,50
2,7.0,0,50
3,7.0,0,50
4,7.0,0,50
5,7.0,0,50
6,7.0,0,50
7,7.0,0,50
8,7.0,0,50
9,7.0,0,50
10,7.0,0,50
11,7.0,0,50
12,7.0,0,50
13,7.0,0,50
14,7.0,0,50
15,7.0,0,50
16,7.0,0,50
17,7.0,0,50
18,7.0,0,50
19,7.0,0,50
20,7.0,0,50
21,7.0,0,50
22,7.0,0,50
23,7.0,0,50
24,7.0,0,50
25,7.0,0,50
26,7.0,0,50
27,7.0,0,50
28,7.0,0,50
29,7.0,0,50
30,7.0,0,50
31,7.0,0,50
32,7.0,0,50
33,7.0,0,50
34,7.0,0,50
35,7.0,0,50
36,7.0,0,50
37,7.0,0,50
38,7.0,0,50
39,7.0,0,50
40,7.0,0,50
41,7.0,0,50
42,7.0,0,50
43,7.0,0,50
44,7.0,0,50
45,7.0,0,50
46,7.0,0,50
47,7.0,0,50
48,7.0,0,50
49,7.0,0,50
50,7.0,0,50
51,7.0,0,50
52,7.0,0,50
53,7.0,0,50
54,7.0,0,50
55,7.0,0,50
56,7.0,0,50
57,7.0,0,50
58,7.0,0,50
59,7.0,0,50
60,7.0,0,50
61,7.0,0,50
62,7.0,0,50
63,7.0,0,50
64,7.0,0,50
65,7.0,0,50
66,7.0,0,50
67,7.0,0,50
68,7.0,0,50
69,7.0,0,50
70,7.0,0,50
71,7.0,0,50
72,7.0,0,50
73,7.0,0,50
74,7.0,0,50
75,7.0,0,50
76,7.0,0,50
77,7.0,0,50
78,7.0,0,50
79,7.0,0,50
80,7.0,0,50
81,7.0,0,50
82,7.0,0,50
83,7.0,0,50
84,7.0,0,50
85,7.0,0,50
86,7.0,0,50
87,7.0,0,50
88,7.0,0,50
89,7.0,0,50
90,7.0,0,50
91,7.0,0,50
92,7.0,0,50
93,7.0,0,50
94,7.0,0,50
95,7.0,0,50
96,7.0,0,50
97,7.0,0,50
98,7.0,0,50
99,7.0,0,50
100,7.0,0,50
101,7.0,0,50
102,7.0,0,50
103,7.0,0,50
104,7.0,0,50
105,7.0,0,50
106,7.0,0,50
107,7.0,0,50
108,7.0,0,50
109,7.0,0,50
110,7.0,0,50
111,7.0,0,50
112,7.0,0,50
113,7.0,0,50
114,7.0,0,50
115,7.0,0,50
116,7.0,0,50
117,7.0,0,50
118,7.0,0,50
119,7.0,0,50
120,7.0,0,50
121,7.0,0,50
122,7.0,0,50
123,7.0,0,50
124,7.0,0,50
125,7.0,0,50
126,7.0,0,50
127,7.0,0,50
128,7.0,0,50
129,7.0,0,50
130,7.0,0,50
131,7.0,0,50
132,7.0,0,50
133,7.0,0,50
134,7.0,0,50
135,7.0,0,50
136,7.0,0,50
137,7.0,0,50
138,7.0,0,50
139,7.0,0,50
140,7.0,0,50
141,7.0,0,50
142,7.0,0,50
143,7.0,0,50
144,7.0,0,50
145,7.0,0,50
146,7.0,0,50
147,7.0,0,50
148,7.0,0,50
149,7.0,0,50
150,7.0,0,50
151,7.0,0,50
152,7.0,0,50
153,7.0,0,50
154,7.0,0,50
155,7.0,0,50
156,7.0,0,50
157,7.0,0,50
158,7.0,0,50
159,7.0,0,50
160,7.0,0,50
161,7.0,0,50
162,7.0,0,50
163,7.0,0,50
164,7.0,0,50
165,7.0,0,50
166,7.0,0,50
167,7.0,0,50
168,7.0,0,50
169,7.0,0,50
170,7.0,0,50
171,7.0,0,50
172,7.0,0,50
173,7.0,0,50
174,7.0,0,50
175,7.0,0,50
176,7.0,0,50
177,7.0,0,50
178,7.0,0,50
179,7.0,0,50
180,7.0,0,50
181,7.0,0,50
182,7.0,0,50
183,7.0,0,50
184,7.0,0,50
185,7.0,0,50
186,7.0,0,50
187,7.0,0,50
188,7.0,0,50
189,7.0,0,50
190,7.0,0,50
191,7.0,0,50
192,7.0,0,50
193,7.0,0,50
194,7.0,0,50
195,7.0,0,50
196,7.0,0,50
197,7.0,0,50
198,7.0,0,50
199,7.0,0,50
200,7.0,0,50
