episode,reward,win,steps
1,-0.30000000000000004,0,50
2,-0.1,0,50
3,-0.2,0,50
4,0.0,0,50
5,-0.2,0,50
6,-0.5,0,44
7,-0.4,0,50
8,0.0,0,50
9,-0.2,0,50
10,-0.1,0,50
11,0.0,0,50
12,-0.30000000000000004,0,50
13,-0.4,0,50
14,-0.2,0,50
15,-0.1,0,50
16,-0.1,0,50
17,-0.1,0,50
18,0.0,0,50
19,-0.30000000000000004,0,50
20,0.0,0,50
21,0.0,0,50
22,-0.2,0,50
23,-0.5,0,32
24,-0.30000000000000004,0,50
25,-0.30000000000000004,0,50
26,-0.1,0,50
27,-0.5,0,36
28,-0.2,0,50
29,0.0,0,50
30,0.0,0,50
31,-0.1,0,50
32,-0.2,0,50
33,-0.1,0,50
34,-0.5,0,44
35,0.0,0,50
36,-0.2,0,50
37,-0.1,0,50
38,-0.1,0,50
39,0.0,0,50
40,0.0,0,50
41,0.0,0,50
42,-0.2,0,50
43,-0.1,0,50
44,-0.2,0,50
45,-0.30000000000000004,0,50
46,-0.5,0,44
47,0.0,0,50
48,-0.2,0,50
49,-0.2,0,50
50,-0.5,0,40
51,-0.1,0,50
52,-0.1,0,50
53,-0.30000000000000004,0,50
54,0.0,0,50
55,-0.30000000000000004,0,50
56,-0.2,0,50
57,-0.5,0,28
58,-0.2,0,50
59,-0.5,0,40
60,0.0,0,50
61,-0.1,0,50
62,-0.5,0,36
63,-0.5,0,44
64,-0.1,0,50
65,-0.5,0,40
66,0.0,0,50
67,1.0,0,50
68,-0.4,0,50
69,0.0,0,50
70,-0.30000000000000004,0,50
71,-0.2,0,50
72,-0.1,0,50
73,-0.5,0,36
74,-0.2,0,50
75,-0.5,0,36
76,-0.2,0,50
77,-0.2,0,50
78,-0.30000000000000004,0,50
79,0.0,0,50
80,-0.4,0,50
81,-0.30000000000000004,0,50
82,-0.1,0,50
83,-0.30000000000000004,0,50
84,-0.1,0,50
85,0.0,0,50
86,-0.4,0,50
87,0.0,0,50
88,-0.1,0,50
89,-0.2,0,50
90,-0.30000000000000004,0,50
91,-0.1,0,50
92,0.0,0,50
93,0.0,0,50
94,-0.4,0,50
95,-0.4,0,50
96,0.0,0,50
97,0.0,0,50
98,-0.5,0,48
99,-0.30000000000000004,0,50
100,-0.1,0,50
101,-0.2,0,50
102,-0.1,0,50
103,0.0,0,50
104,-0.5,0,48
105,-0.30000000000000004,0,50
106,-0.30000000000000004,0,50
107,-0.5,0,44
108,-0.1,0,50
109,0.0,0,50
110,-0.1,0,50
111,-0.1,0,50
112,-0.30000000000000004,0,50
113,-0.1,0,50
114,-0.1,0,50
115,0.0,0,50
116,-0.5,0,40
117,-0.4,0,50
118,0.0,0,50
119,-0.30000000000000004,0,50
120,-0.2,0,50
121,-0.1,0,50
122,0.0,0,50
123,0.0,0,50
124,-0.30000000000000004,0,50
125,-0.5,0,48
126,0.0,0,50
127,-0.1,0,50
128,0.0,0,50
129,-0.2,0,50
130,-0.5,0,32
131,-0.2,0,50
132,0.0,0,50
133,-0.2,0,50
134,-0.2,0,50
135,-0.2,0,50
136,-0.5,0,40
137,-0.2,0,50
138,0.0,0,50
139,0.0,0,50
140,-0.4,0,50
141,0.0,0,50
142,-0.2,0,50
143,-0.1,0,50
144,-0.2,0,50
145,0.0,0,50
146,-0.1,0,50
147,-0.1,0,50
148,-0.30000000000000004,0,50
149,-0.5,0,36
150,-0.30000000000000004,0,50
151,-0.1,0,50
152,-0.2,0,50
153,-0.4,0,50
154,-0.1,0,50
155,-0.1,0,50
156,0.0,0,50
157,-0.4,0,50
158,-0.1,0,50
159,-0.30000000000000004,0,50
160,0.0,0,50
161,0.0,0,50
162,-0.2,0,50
163,0.0,0,50
164,-0.2,0,50
165,-0.4,0,50
166,-0.4,0,50
167,0.0,0,50
168,-0.1,0,50
169,-0.2,0,50
170,-0.1,0,50
171,-0.2,0,50
172,-0.1,0,50
173,-0.2,0,50
174,-0.2,0,50
175,-0.1,0,50
176,-0.2,0,50
177,-0.1,0,50
178,0.0,0,50
179,-0.5,0,48
180,-0.2,0,50
181,-0.2,0,50
182,-0.4,0,50
183,0.0,0,50
184,-0.4,0,50
185,-0.5,0,44
186,0.0,0,50
187,0.0,0,50
188,-0.30000000000000004,0,50
189,0.0,0,50
190,-0.1,0,50
191,0.0,0,50
192,0.0,0,50
193,-0.30000000000000004,0,50
194,-0.2,0,50
195,-0.2,0,50
196,-0.30000000000000004,0,50
197,-0.1,0,50
198,-0.2,0,50
199,-0.1,0,50
200,0.0,0,50
